# Chunk-averaged data for fix av and group vx
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount mass vx vy vz v_ux v_uy v_uz c_s[1] c_s[2] c_s[3] c_s[4] v_sx v_sy v_sz v_sxy
200000 10000 8.2656e+07
  1 -4.95 -4.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  2 -4.95 -4.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  3 -4.95 -4.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  4 -4.95 -4.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  5 -4.95 -4.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  6 -4.95 -4.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  7 -4.95 -4.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  8 -4.95 -4.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  9 -4.95 -4.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  10 -4.95 -4.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  11 -4.95 -3.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  12 -4.95 -3.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  13 -4.95 -3.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  14 -4.95 -3.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  15 -4.95 -3.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  16 -4.95 -3.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  17 -4.95 -3.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  18 -4.95 -3.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  19 -4.95 -3.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  20 -4.95 -3.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  21 -4.95 -2.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
